title,open_date,movie_link,poster_link,critic_score,critic_sentiment,audience_score,audience_sentiment
Dancing the Twist in Bamako,"Opened Feb 24, 2023",/m/dancing_the_twist_in_bamako,https://resizing.flixster.com/uidC8wGmlhSHQezXC4JjQgRbRRQ=/180x258/v2/https://resizing.flixster.com/LkXBCuKQoHgtEq1LYULeBexYCQE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2IwNDhmNmY4LWMzNDAtNDU2MC05NGJhLWY5YTA3OTNlZTM3Yi5qcGc=,,,,
Northern Shade,"Opened Feb 24, 2023",/m/northern_shade,https://resizing.flixster.com/B_HCmDpp6JxH77Opy4bstOfcWIk=/180x258/v2/https://resizing.flixster.com/_npFSkAh7sZi_VRwAkmWWCRLKCA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M4M2M3MmZmLTk1YWUtNGJiMi04NDExLTkyY2IxODBmZTgwZS5qcGc=,,,,
Out of Time: The Material Issue Story,"Opened Feb 24, 2023",/m/out_of_time_the_material_issue_story,https://resizing.flixster.com/U6NZJNH_zkJkdb_esSops0vwXbI=/180x258/v2/https://resizing.flixster.com/F-wxSgLvweh-b2vfiORGweg6M1k=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdhMzdjMjA2LTkzYWUtNGVlNC05ODg3LTgwNTcxNmFlY2FlNS5qcGc=,,,,
Ji Wife Ji,"Opened Feb 24, 2023",/m/ji_wife_ji,https://resizing.flixster.com/NvtvovxgFiVfEdrWWnQDN9X_0PI=/180x258/v2/https://resizing.flixster.com/y7zv4Tw7VuTJCTB-AQ7ZXp78kFY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJjMGU1NTU2LTgzYmItNGUxZi1iNWIzLWRkNDBhZjc1ZTRiMi5qcGc=,,,,
Ant-Man and The Wasp: Quantumania,"Opened Feb 17, 2023",/m/ant_man_and_the_wasp_quantumania,https://resizing.flixster.com/fVrIldlpUM25DuWLZXNn2jwZSd4=/180x258/v2/https://resizing.flixster.com/_0Mhf0W_vdhwlaqOaUDX6JiReKA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzE0OGY2MTIxLTE1MDEtNDI5YS1hYzVlLWYyMzExYjBmZTlhMC5qcGc=,,,83,positive
Avatar: The Way of Water,"Opened Dec 16, 2022",/m/avatar_the_way_of_water,https://resizing.flixster.com/vBbpscWVOg8oEI6mhx6l87Eegio=/180x258/v2/https://resizing.flixster.com/gWWM2Ov0VLAuazwELZCVc9grUQI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzgyMGM0ZDJiLWNmYjAtNGI3NS1hYTgzLTQ5YmU2ZjQwZWE0ZC5qcGc=,,,92,positive
Puss in Boots: The Last Wish,"Opened Dec 21, 2022",/m/puss_in_boots_the_last_wish,https://resizing.flixster.com/7TqHTXZS36wi0cPwfdLO3kQMXH0=/180x258/v2/https://resizing.flixster.com/vtIcjOYiM-QBXQyXhTFFgQoRkDw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JmNjM3ZTc2LTk5ZmMtNGJhNy04MDAzLWI3M2IxNmExNDNkYi5qcGc=,,,94,positive
Magic Mike's Last Dance,"Opened Feb 10, 2023",/m/magic_mikes_last_dance,https://resizing.flixster.com/1rDwxiAlOeVPkIIwdiMgGYg7STQ=/180x258/v2/https://resizing.flixster.com/dSyi0qq5pZSCRC1VH_oo02R4QRE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzRhMWZhYmFhLWFmODgtNDg1MC1hMTk5LWMwOTcyMDhjY2Y1YS5qcGc=,,,74,positive
Knock at the Cabin,"Opened Feb 03, 2023",/m/knock_at_the_cabin,https://resizing.flixster.com/Lns0SHw6z96u5-VGU9eRaQoitJA=/180x258/v2/https://resizing.flixster.com/5dJGA-d38uNrcR2nDq1UmVBRuHc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA4NDdmZDU3LWMxNTQtNDczOC04M2VkLTQzNzQ5NGVkODExZi5qcGc=,,,64,positive
80 for Brady,"Opened Feb 03, 2023",/m/80_for_brady,https://resizing.flixster.com/87a9oPjNLBQT2jxitBaOBzk8L7Q=/180x258/v2/https://resizing.flixster.com/D7qwW_u23xMtpwTt78eNVmVLFuI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I4Mzk4ZTkzLTYzZjktNGI0My05OTYwLWIzZjIxMDkwMTQwNC5qcGc=,,,89,positive
